"date","guess1","guess2","guess3","guess4","solution","result","myskill_avg","myluck_avg","avg","botresult","bguess1","bguess2","bguess3","bguess4",,"junk"
"10/23/2023","slate","thief","trend","tempt","tempo",5,"89/81","36/58",3.8,4,"slate","tenet","tepid","tempo",,
"10/22/2023","slate","round","vixen","given","given",4,"89/82","42/49",4.2,3,"slate","diner","given",,,
"10/21/2023","slate","crony","shirk","smirk","smirk",4,"91/85","43/56",3.9,4,"slate","churn","sword","smirk",,
"10/20/2023","adios","churn","occur",,"occur",3,"93/83","62/52",4,3,"slate","crony","occur",,,
"10/19/2023","stale","salty","splat",,"splat",3,"99/78","61/71",3.5,2,"slate","splate",,,,
"10/18/2023","stare","green","peril","mercy","mercy",4,"80/81","47/51",4.1,4,"slate","diner","emery","mercy",,
"10/17/2023","crane","adios","adult",,"adult",3,"88/83","56/65",3.6,3,"slate","taint","adult",,,
"10/16/2023","stare","grind","graph",,"graph",3,"94/81","61/56",4,3,"slate","churn","graph",,,
"10/15/2023","least","learn","leafy","leaky","leaky",4,"82/82","65/63",4.2,3,"slate","leafy","leaky",,,
"10/13/2023","stare","clung",,,"uncle",3,"92/81","66/62",3.7,3,"slate","bingo","uncle",,,
"10/12/2023","strep","unite",,,"knelt",4,"92/80","53/56",4,3,"slate","intel","knelt",,,
"10/11/2023","clear","sound",,,"skunk",4,"84/84","51/45",4.2,4,"slate","churn","prong","skunk",,
"10/10/2023","least","snail",,,"snail",2,"79/84","91/67",3.4,3,"slate","hilly","snail",,,
"10/9/2023","stare","trout",,,"truth",3,"96/85","73/61",3.6,3,"slate","rhino","truth",,,
"10/8/2023","slate","round",,,"binge",3,"86/83","46/49",4.1,3,"slate","groin","binge",,,
"10/7/2023","stare","adios",,,"viola",3,"82/82","56/53",4.1,4,"slate","molar","aioli","viola",,
"10/6/2023","aisle","quite",,,"chime",4,"83/84","58/57",3.5,3,"slate","groin","chime",,,
"10/4/2023","stern","nodal",,,"bunch",6,"87/81","29/46",4.4,4,"slate","crony","blimp","bunch",,
"10/3/2023","stern","mouth",,,"spurt",3,"99/85","72/64",3.5,3,"slate","pinot","spurt",,,
"10/3/2023","slice","while",,,"while",2,"57/80","91/58",3.7,4,"slate","bingo","exile","while",,
"10/2/2023","slope","cairn",,,"merry",5,"93/82","35/47",4.4,4,"slate","diner","emery","merry",,
"10/1/2023","least","remit",,,"beret",3,"85/83","80/54",4,3,"slate","tenet","beret",,,
"9/30/2023","stare","align",,,"daddy",6,"71/80","30/39",4.9,4,"slate","corny","budge","daddy",,
"9/28/2023","slate","ranch",,,"azure",4,"79/78","59/58",4.2,4,"slate","cairn","adore","azure",,
"9/27/2023","slate","round",,,"coach",4,"93/85","42/57",3.7,3,"slate","churn","coach",,,
"9/26/2023","aisle","smile",,,"smile",2,"99/84","99/66",3.4,2,"slate","smile",,,,
"9/25/2023","aisle","talon",,,"loyal",4,"94/83","46/52",4.1,4,"slate","molar","local","loyal",,
"9/24/2023","slate","round",,,"rocky",4,"99/85","38/53",3.7,3,"slate","crony","rocky",,,
"9/23/2023","cairn","riser",,,"right",3,"91/82","67/61",3.6,4,"slate","count","drift","right",,
"9/23/2023","trend","slurp",,,"carol",5,"81/82","39/59",3.8,3,"slate","molar","carol",,,
"9/22/2023","adios","reset",,,"brush",4,"86/85","53/59",3.6,3,"slate","croup","brush",,,
"9/21/2023","stare","style",,,"stone",5,"93/81","45/68",3.3,3,"slate","raven","stone",,,
"9/20/2023","poise","slant",,,"snare",4,"96/83","52/63",4,3,"slate","parch","snare",,,
"9/19/2023","aisle","louse",,,"close",3,"99/86","68/72",3.1,2,"slate","close",,,,
"9/18/2023","crane","grand",,,"frank",3,"98/85","65/48",4.4,4,"slate","churn","grand","frank",,
"9/17/2023","aisle","posit",,,"music",3,"99/83","67/61",3.6,3,"slate","croup","music",,,
"9/16/2023","slant","renal",,,"angel",4,"96/81","54/60",3.8,3,"slate","rangy","angel",,,
"9/15/2023","aisle","credo",,,"exert",3,"85/81","57/51",4.3,3,"slate","tenet","exert",,,
"9/14/2023","aisle","ranty",,,"rayon",3,"93/83","54/53",4.1,3,"slate","corny","rayon",,,
"9/13/2023","slant","cheap",,,"clear",4,"83/82","64/68",3.3,3,"slate","caned","clear",,,
"9/12/2023","slant","rouse",,,"whisk",3,"99/83","50/57",3.8,3,"slate","croup","whisk",,,
"9/11/2023","slant","ficus",,,"older",4,"81/81","51/59",4,3,"slate","defer","older",,,
"9/10/2023","slope","ranty",,,"quote",3,"83/82","74/63",3.5,3,"slate","turbo","quote",,,
"9/9/2023","stair","ounce",,,"lucky",3,"91/84","54/52",3.7,4,"slate","dilly","loopy",,,
"9/8/2023","stain","rouse",,,"rouse",2,"97/82","76/64",3.7,3,"slate","rough",,,,
"9/7/2023","stare","blend",,,"dwell",3,"92/80","58/51",4.2,5,"slate","riven","hello","quell",,
"9/6/2023","stair","mouse",,,"gnash",5,"85/76","34/58",4.3,4,"slate","curbs","awash",,,
"9/5/2023","spare","round",,,"birch",5,"66/85","42/57",3.6,3,"slate","crony",,,,
"9/4/2023","adieu","solid",,,"giddy",4,"88/81","57/46",4.2,4,"slate","crony","dumpy",,,
"9/3/2023","stale","torch",,,"await",4,"89/81","48/59",3.9,3,"slate","print",,,,
"9/2/2023","reset","laugh",,,"onion",4,"95/85","38/49",3.9,4,"slate","crony","built",,,
"9/1/2023","snail","spate",,,"space",3,"83/83","73/64",3.5,3,"slate","parch",,,,
"8/31/2023","storm","crane",,,"bride",4,"80/83","47/56",3.9,4,"slate","groin","dumps",,,
"8/30/2023","adieu","audio",,,"audio",2,"99/82","86/60",3.6,4,"slate","corny","adobo",,,
"8/29/2023","least","range",,,"caper",6,"61/77","40/58",4,4,"slate","ramen",,,,
"8/28/2023","range","crust",,,"write",3,"85/81","58/66",3.5,3,"slate","turbo",,,,
"8/27/2023","stare","clamp",,,"peace",3,"93/85","72/61",3.8,3,"slate","prick",,,,
